Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.33623522871174,0.177469849603709,-0.157088210766902,0,0,0,14.7299030053972,0.84809476085918,2.16358479686617E-16,-3.12340431296576E-17,0.570458410670287,1.41812677336259E-16,1.17714382335918,0,0,0,0,0,0,package://gas_station/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gas_station/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
can,-2.91321358858454E-05,0.507858212214229,-0.254124949054085,0,0,0,205.80876150373,21.0224297483758,0.00149417840441406,0.00131477697143659,6.63675201340054,0.00640851591178053,21.027784542719,0,0,0,0,0,0,package://gas_station/meshes/can.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gas_station/meshes/can.STL,,Can_model-1,Origin_joint12,Axis_joint12,joint1,planar,0.68423,0.49036,0,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
can_cap,-0.000190569433694776,0.0861865712247863,0.000116843388021537,0,0,0,0.0355823783414013,9.7828437401394E-05,-8.40260160941324E-08,-4.90965484752551E-10,3.05802645774461E-05,-3.67434137816846E-07,9.78264027528471E-05,0,0,0,0,0,0,package://gas_station/meshes/can_cap.STL,1,1,1,1,0,0,0,0,0,0,package://gas_station/meshes/can_cap.STL,,can_cap-1,Origin_joint22,,joint2,continuous,0.052002,0.75692,-0.1143,1.5708,0,0,can,0,0,0,,,,,,,,,,,,
